Disease	Atrial fibrillation	Rank_Atrial fibrillation
HG01148	2.453	0.6705
HG01149	1.3202	0.3642
HG01161	5.0369	0.891
HG01162	0.8209	0.121
HG01164	4.1042	0.8419
HG01167	4.5015	0.8638
HG01168	1.1013	0.268
HG01170	14.2906	0.9908
HG01171	0.7992	0.1102
HG01173	0.7984	0.1098
HG01174	4.1745	0.8458
HG01176	0.6133	0.0339
HG01177	1.2352	0.3299
HG01182	1.2289	0.3275
HG01183	5.4641	0.9054
HG01187	0.9607	0.1973
HG01188	1.3712	0.3826
HG01190	1.486	0.4289
HG01191	2.8959	0.7328
HG01197	0.9979	0.2169
HG01198	0.9212	0.1793
HG01200	1.7723	0.5208
HG01204	4.426	0.8586
HG01205	0.8482	0.1382
HG01241	1.0224	0.23
HG01242	2.7913	0.7192
HG01247	0.6172	0.0363
HG01248	2.0232	0.5791
HG01250	5.5589	0.9085
HG01251	2.9808	0.742
HG01253	2.2694	0.6294
HG01254	16.4726	0.996
HG01256	0.835	0.1286
HG01257	1.1853	0.3063
HG01259	1.4054	0.399
HG01260	2.1376	0.6038
HG01269	1.2113	0.3207
HG01271	5.6712	0.9137
HG01272	2.7652	0.7137
HG01275	2.4525	0.6701
HG01277	4.2491	0.8498
HG01280	1.1071	0.2708
HG01281	6.323	0.9329
HG01284	4.7427	0.8778
HG01286	12.7943	0.9868
HG01302	4.915	0.8866
HG01303	0.9978	0.2165
HG01305	1.5949	0.4649
HG01308	0.7558	0.0867
HG01311	1.9761	0.5695
HG01312	0.7961	0.1078
HG01323	2.3354	0.6474
HG01325	0.8799	0.1593
HG01326	1.3002	0.3534
HG01334	1.1296	0.2835
HG01341	4.054	0.8383
HG01342	1.3821	0.3882
HG01344	1.4953	0.4321
HG01345	1.0831	0.2596
HG01348	5.639	0.9129
HG01350	3.7181	0.8187
HG01351	1.3026	0.3538
HG01353	2.492	0.6753
HG01354	1.1319	0.2843
HG01356	6.2676	0.9317
HG01357	3.1158	0.764
HG01359	3.5378	0.8067
HG01360	4.4709	0.8626
HG01362	1.3233	0.3658
HG01363	2.1641	0.607
HG01365	2.424	0.6629
HG01366	7.4588	0.9489
HG01369	1.6733	0.4904
HG01372	1.4131	0.4022
HG01374	1.4226	0.4069
HG01375	0.849	0.1394
HG01377	7.6012	0.9517
HG01378	1.624	0.4728
HG01383	1.7891	0.5252
HG01384	3.1484	0.768
HG01389	5.8311	0.9177
HG01390	5.4663	0.9058
HG01392	1.4205	0.4065
HG01393	2.3326	0.6466
HG01395	1.3638	0.379
HG01396	1.084	0.2604
